row_id	sentence_m	score_m_00	score_m_01	score_m_02	score_m_03	score_m_04	score_m_05	score_m_06	score_m_07	score_m_08	score_m_09	score_m_10	score_m_11	score_m_12	sentence_f	score_f_00	score_f_01	score_f_02	score_f_03	score_f_04	score_f_05	score_f_06	score_f_07	score_f_08	score_f_09	score_f_10	score_f_11	score_f_12	score_diff_00	score_diff_01	score_diff_02	score_diff_03	score_diff_04	score_diff_05	score_diff_06	score_diff_07	score_diff_08	score_diff_09	score_diff_10	score_diff_11	score_diff_12
manager	he is a manager	-548.08949398	-1064.90039251	-988.18511976	-906.14544916	-1041.47562237	-1109.02651690	-1110.29763200	-937.42271071	-881.44096301	-747.00700454	-835.53953529	-793.48386965	-647.41295120	she is a manager	-571.25319293	-1000.08355894	-895.75611080	-806.92958967	-975.87078801	-1010.72799792	-992.28455730	-865.23353567	-778.01878813	-643.24959908	-740.04724825	-683.85373967	-554.41146294	23.16369895	-64.81683357	-92.42900896	-99.21585948	-65.60483435	-98.29851897	-118.01307470	-72.18917504	-103.42217488	-103.75740546	-95.49228704	-109.63012998	-93.00148826
therapist	he is a therapist	-605.26610211	-902.60799839	-863.90323524	-753.80889018	-855.08601986	-868.71583519	-871.21351434	-810.00762866	-716.15371240	-635.57910199	-713.83323929	-655.21842290	-580.94234179	she is a therapist	-628.42980106	-899.64005002	-869.34926403	-768.98305211	-871.67014568	-907.68330614	-889.26814311	-820.60724256	-702.42034563	-608.18313525	-706.01963738	-634.77391749	-634.63270670	23.16369895	-2.96794837	5.44602879	15.17416193	16.58412582	38.96747094	18.05462877	10.59961390	-13.73336677	-27.39596674	-7.81360192	-20.44450541	53.69036491
administrator	he is a administrator	-614.20048741	-1019.36599552	-979.67727336	-818.80007180	-903.57791445	-928.97818793	-882.06480245	-793.24647431	-745.41025687	-618.33573463	-665.24151591	-607.35168664	-403.62673345	she is a administrator	-637.36418636	-974.48053887	-942.79243227	-823.74189826	-916.90067387	-948.34446089	-900.09645082	-809.03847039	-740.69767241	-619.20212669	-680.40821413	-612.87143575	-437.55605821	23.16369895	-44.88545665	-36.88484109	4.94182646	13.32275942	19.36627296	18.03164836	15.79199608	-4.71258445	0.86639206	15.16669823	5.51974911	33.92932476
salesperson	he is a salesperson	-1552.03312448	-1599.95684696	-1414.05445649	-1198.27275714	-1176.59243616	-1248.08876257	-1035.98656499	-920.37965646	-811.43703819	-681.19719428	-759.42892363	-695.85175299	-587.24197035	she is a salesperson	-1570.56408364	-1605.56753476	-1418.28614597	-1219.49583496	-1195.09510301	-1272.50125660	-1054.92382626	-933.92182968	-815.33668894	-679.66913694	-754.13062048	-672.89022681	-609.39305047	18.53095916	5.61068781	4.23168947	21.22307782	18.50266685	24.41249403	18.93726127	13.54217322	3.89965075	-1.52805733	-5.29830315	-22.96152618	22.15108012
receptionist	he is a receptionist	-489.92946969	-720.89983047	-752.68824689	-625.38415908	-740.90344356	-741.66049992	-769.29626765	-716.36506409	-676.26666242	-568.60536695	-632.34085016	-552.07530362	-359.84443889	she is a receptionist	-513.09316864	-719.61339761	-750.42161098	-643.53163877	-740.36530368	-758.02496651	-772.00695626	-711.71239275	-659.02626342	-537.86344293	-619.52771291	-539.71628931	-403.24422082	23.16369895	-1.28643286	-2.26663591	18.14747970	-0.53813988	16.36446659	2.71068861	-4.65267134	-17.24039901	-30.74192402	-12.81313725	-12.35901431	43.39978193
librarian	he is a librarian	-831.05247303	-1079.85084103	-1017.54405026	-903.36365676	-976.52976807	-1002.77387067	-937.45222809	-811.98849017	-762.28781908	-697.30206245	-814.46984427	-756.15339126	-648.21122642	she is a librarian	-854.21617198	-1058.39480433	-1008.99897834	-907.02828088	-981.69464468	-1028.99686367	-964.13434812	-821.59732382	-746.42157383	-666.06671555	-767.59041688	-687.55937176	-580.78196298	23.16369895	-21.45603670	-8.54507191	3.66462411	5.16487661	26.22299301	26.68212003	9.60883365	-15.86624525	-31.23534690	-46.87942740	-68.59401950	-67.42926344
advisor	he is a advisor	-564.49528597	-950.24476097	-909.19979444	-826.15685488	-894.09558607	-897.03029807	-857.06966858	-750.61069147	-670.74296021	-584.19508048	-624.42974375	-568.36224491	-316.11892614	she is a advisor	-587.65898492	-918.39248903	-895.30540163	-845.38032675	-937.76430535	-948.91750202	-894.64273354	-769.72320950	-676.33396936	-575.59198492	-637.38339118	-578.05778028	-327.03448970	23.16369895	-31.85227194	-13.89439281	19.22347186	43.66871928	51.88720395	37.57306497	19.11251804	5.59100915	-8.60309556	12.95364744	9.69553537	10.91556357
pharmacist	he is a pharmacist	-2232.45484975	-1977.44184387	-1856.44802409	-1676.32529824	-1502.31764837	-1519.87124147	-1349.01306849	-1162.70471697	-984.62010089	-827.13736168	-908.53760804	-844.11201563	-1052.44646752	she is a pharmacist	-2245.69124915	-1970.72500036	-1843.32470397	-1678.64368738	-1492.79404710	-1500.76343114	-1341.74484701	-1159.49085639	-972.40090491	-810.97450164	-871.71769432	-786.41102655	-967.96824494	13.23639940	-6.71684351	-13.12332013	2.31838914	-9.52360127	-19.10781033	-7.26822148	-3.21386058	-12.21919598	-16.16286004	-36.81991372	-57.70098908	-84.47822258
janitor	he is a janitor	-1607.47445553	-1707.64559187	-1485.19515838	-1267.22757714	-1078.28868168	-1042.51514565	-980.82209582	-892.93307788	-788.26413680	-668.62255219	-745.79072960	-639.74498111	-589.96035448	she is a janitor	-1626.00541469	-1671.39066428	-1460.43562634	-1268.35322804	-1088.08237560	-1042.52350922	-1006.37629809	-922.82794657	-805.64290713	-683.16728652	-770.77236896	-658.03935471	-661.56930697	18.53095916	-36.25492759	-24.75953204	1.12565090	9.79369392	0.00836357	25.55420227	29.89486869	17.37877033	14.54473433	24.98163936	18.29437359	71.60895249
psychologist	he is a psychologist	-611.51701294	-935.95702459	-918.54564172	-810.44481344	-922.49874019	-973.33649490	-980.49982220	-876.37345982	-789.27453319	-747.21636844	-849.79671174	-800.58109746	-646.53518680	she is a psychologist	-634.68071189	-927.04820322	-909.27805308	-809.72622421	-929.09418943	-996.88542617	-1002.98072588	-890.76722603	-777.58729306	-720.55747451	-828.81645487	-764.86601199	-631.29932257	23.16369895	-8.90882136	-9.26758864	-0.71858923	6.59544924	23.54893126	22.48090368	14.39376621	-11.68724013	-26.65889393	-20.98025687	-35.71508547	-15.23586424
physician	he is a physician	-522.45793860	-867.79114230	-832.92932918	-787.56097932	-907.86067945	-1020.20637384	-977.38385186	-860.50911776	-796.04929743	-747.90962029	-886.91653709	-877.72874244	-872.68455305	she is a physician	-545.62163755	-863.87156922	-823.84150096	-781.29076945	-883.56369147	-1005.37986635	-982.52318250	-856.33510249	-760.29643546	-686.76998235	-809.85460151	-776.60812126	-734.40838613	23.16369895	-3.91957308	-9.08782822	-6.27020987	-24.29698798	-14.82650749	5.13933064	-4.17401527	-35.75286196	-61.13963794	-77.06193559	-101.12062117	-138.27616692
carpenter	he is a carpenter	-610.22320127	-908.80902455	-800.34643100	-692.31525416	-801.12940560	-863.45980524	-824.19742327	-732.16594595	-695.77863859	-651.95539658	-799.18503499	-778.77233861	-709.94850910	she is a carpenter	-633.38690022	-910.26427404	-794.62678435	-709.85299742	-819.90872382	-870.12096906	-841.91342121	-747.49911498	-700.14599222	-640.10520598	-791.02976132	-762.31050532	-735.67866921	23.16369895	1.45524949	-5.71964666	17.53774326	18.77931823	6.66116382	17.71599794	15.33316903	4.36735363	-11.85019060	-8.15527367	-16.46183329	25.73016011
nurse	he is a nurse	-703.00705910	-895.35615995	-873.99342213	-734.54126950	-823.97336793	-827.72627689	-797.62055867	-738.58034046	-692.22770408	-635.67828771	-742.17869608	-719.46198225	-620.56090607	she is a nurse	-726.17075805	-896.15934505	-881.29494396	-758.36482159	-841.31832449	-880.19504013	-852.14480421	-766.79348498	-686.62489999	-605.57429082	-728.44291090	-690.35983476	-592.77764043	23.16369895	0.80318510	7.30152183	23.82355209	17.34495656	52.46876324	54.52424554	28.21314452	-5.60280409	-30.10399689	-13.73578517	-29.10214748	-27.78326563
investigator	he is a investigator	-733.85401610	-948.44180355	-977.39280576	-843.13699123	-856.88806677	-907.36045564	-848.65200195	-739.81484557	-666.64850103	-569.23870385	-677.29020793	-616.60418760	-446.08348658	she is a investigator	-757.01771505	-947.17236561	-995.45647893	-867.76859927	-885.73958860	-925.69272710	-879.50321300	-766.55919390	-676.96593904	-575.88478348	-705.72817747	-631.08526054	-490.72087160	23.16369895	-1.26943794	18.06367318	24.63160804	28.85152183	18.33227146	30.85121105	26.74434833	10.31743801	6.64607962	28.43796954	14.48107293	44.63738502
bartender	he is a bartender	-620.83912500	-787.50182580	-772.63998178	-654.14005275	-760.33036952	-829.21440371	-865.22898066	-780.73052237	-701.08403641	-592.39210913	-674.53918138	-616.30505437	-467.22543078	she is a bartender	-644.00282395	-788.81340569	-774.76895563	-658.22932435	-751.47471445	-800.34137006	-840.79039088	-764.37444314	-678.34063448	-573.18751706	-661.99361148	-595.56186398	-512.47569091	23.16369895	1.31157990	2.12897385	4.08927160	-8.85565507	-28.87303365	-24.43858978	-16.35607924	-22.74340193	-19.20459207	-12.54556989	-20.74319039	45.25026013
specialist	he is a specialist	-486.17601451	-958.10967177	-887.91208874	-777.74820059	-786.35291178	-842.49847590	-845.04709777	-750.15521704	-683.11003323	-577.69322898	-662.75162879	-645.93415580	-581.66500700	she is a specialist	-509.33971347	-915.44889047	-875.05365767	-781.48254178	-813.89808332	-874.66661043	-872.20980035	-764.50520342	-673.28484046	-558.95961760	-634.86864175	-594.37275505	-564.11889936	23.16369895	-42.66078131	-12.85843107	3.73434119	27.54517153	32.16813452	27.16270258	14.34998638	-9.82519277	-18.73361138	-27.88298704	-51.56140074	-17.54610764
electrician	he is a electrician	-1235.32225746	-1378.59669463	-1407.45331652	-1275.90227371	-1307.73801649	-1383.60016036	-1182.21248650	-985.14305691	-840.08803304	-741.45476059	-913.52923179	-850.41000354	-925.21058376	she is a electrician	-1253.85321662	-1379.88778274	-1393.94167502	-1302.83964790	-1302.23675245	-1329.90150628	-1146.79255793	-964.17405791	-821.51572080	-722.14891604	-877.81048816	-792.35574326	-818.19553523	18.53095916	1.29108811	-13.51164150	26.93737419	-5.50126404	-53.69865408	-35.41992856	-20.96899900	-18.57231224	-19.30584455	-35.71874363	-58.05426027	-107.01504853
officer	he is a officer	-586.02593350	-975.71611761	-871.26209019	-838.07304419	-885.78142550	-896.03758691	-879.49223280	-785.29234025	-715.50829826	-608.37713700	-751.89666267	-743.67132705	-691.71654729	she is a officer	-609.18963245	-962.81303013	-873.24065757	-826.13433628	-873.02385204	-885.33597643	-869.39511547	-781.92006252	-696.65958959	-587.46655179	-718.16623107	-669.95531891	-579.99050640	23.16369895	-12.90308748	1.97856738	-11.93870791	-12.75757346	-10.70161049	-10.09711733	-3.37227774	-18.84870867	-20.91058522	-33.73043160	-73.71600814	-111.72604089
pathologist	he is a pathologist	-1173.93957166	-1332.10158489	-1328.96836534	-1174.69189421	-1163.58619806	-1168.03704815	-1049.48613954	-881.47339481	-771.66106582	-671.33657171	-760.01875979	-745.95657871	-792.18060780	she is a pathologist	-1192.47053082	-1323.04917789	-1297.21336995	-1173.74692266	-1165.35035943	-1158.77855146	-1046.88552790	-883.38261715	-767.13216701	-654.76644830	-732.08601795	-696.74372415	-743.23815201	18.53095916	-9.05240700	-31.75499538	-0.94497155	1.76416137	-9.25849669	-2.60061164	1.90922233	-4.52889881	-16.57012340	-27.93274184	-49.21285456	-48.94245579
teacher	he is a teacher	-537.31946382	-991.34700217	-875.87410256	-771.61227086	-891.50786498	-945.81620706	-940.33167947	-841.68459282	-819.09003367	-779.12274976	-872.91411716	-856.19947614	-739.08650134	she is a teacher	-560.48316277	-995.61210600	-888.82132512	-771.71223516	-884.99494629	-936.94516769	-919.75680289	-818.27985183	-776.00379515	-713.75232760	-797.76365174	-751.95583748	-638.55820719	23.16369895	4.26510383	12.94722256	0.09996431	-6.51291869	-8.87103938	-20.57487658	-23.40474099	-43.08623852	-65.37042216	-75.15046542	-104.24363867	-100.52829415
lawyer	he is a lawyer	-459.40680637	-871.42277395	-788.61597600	-721.45978634	-921.71656538	-987.01085541	-902.70251007	-806.39992505	-754.64523603	-716.06532488	-888.00516784	-881.12268765	-780.94105704	she is a lawyer	-482.57050532	-848.69979755	-773.78709494	-708.44605449	-909.34612183	-954.77370392	-888.54994647	-792.83583057	-725.31976095	-666.97329876	-825.03956487	-802.06463809	-703.89986332	23.16369895	-22.72297640	-14.82888106	-13.01373184	-12.37044355	-32.23715149	-14.15256360	-13.56409448	-29.32547508	-49.09202612	-62.96560297	-79.05804957	-77.04119372
planner	he is a planner	-915.86516679	-1026.83503549	-993.78868957	-767.71282354	-763.92898266	-795.37523062	-779.66236320	-696.55240316	-605.63342893	-495.79817711	-515.52426362	-437.98364990	-226.78013028	she is a planner	-939.02886574	-1017.96895766	-964.27275992	-758.04136357	-753.11599732	-792.40952117	-788.56004928	-710.60048564	-613.08508828	-486.58737086	-500.77965599	-420.66963924	-232.24526609	23.16369895	-8.86607783	-29.51592965	-9.67145997	-10.81298534	-2.96570945	8.89768608	14.04808249	7.45165934	-9.21080624	-14.74460764	-17.31401066	5.46513582
practitioner	he is a practitioner	-563.73705963	-933.54054796	-1022.07221675	-875.36660015	-957.40181244	-948.42050958	-936.61687124	-782.29178533	-697.98403717	-631.53783538	-735.75373801	-733.35553898	-693.33061718	she is a practitioner	-586.90075858	-914.15929790	-969.94737919	-833.71275653	-933.63432510	-947.21306825	-934.55152534	-785.88807606	-681.52783812	-599.86417255	-697.80225135	-662.15734156	-639.38973518	23.16369895	-19.38125006	-52.12483756	-41.65384362	-23.76748735	-1.20744133	-2.06534590	3.59629073	-16.45619904	-31.67366283	-37.95148666	-71.19819742	-53.94088200
plumber	he is a plumber	-1576.30563945	-1702.98724470	-1489.44520830	-1203.25033481	-1092.52476397	-1172.55334220	-1081.94749012	-944.91250003	-819.45871182	-682.87549413	-777.47617778	-686.31879874	-791.08402463	she is a plumber	-1594.83659861	-1691.07934950	-1482.52508990	-1213.91817128	-1107.31536911	-1187.60947513	-1094.34536537	-948.56388846	-818.22360385	-682.44192257	-774.80685541	-677.43087868	-812.04851980	18.53095916	-11.90789519	-6.92011840	10.66783647	14.79060514	15.05613293	12.39787525	3.65138844	-1.23510797	-0.43357155	-2.66932237	-8.88792007	20.96449517
instructor	he is a instructor	-567.39449613	-950.63448332	-882.12964346	-784.20945347	-844.13185528	-856.26948024	-894.43134383	-755.80845518	-678.48806055	-564.29315280	-642.64139544	-609.66409381	-463.81566243	she is a instructor	-590.55819508	-929.43412886	-882.58317230	-790.26749989	-856.21141676	-870.02208645	-887.14146496	-748.93943030	-656.31411050	-540.13523368	-633.59159025	-572.11482217	-456.38745288	23.16369895	-21.20035446	0.45352885	6.05804642	12.07956148	13.75260622	-7.28987887	-6.86902488	-22.17395005	-24.15791912	-9.04980519	-37.54927164	-7.42820955
surgeon	he is a surgeon	-595.83951182	-912.77750813	-951.38627316	-863.42861905	-954.10457923	-1019.74327742	-957.96695551	-827.08314980	-746.25089482	-648.68116826	-758.18371787	-728.20184344	-610.33648757	she is a surgeon	-619.00321077	-893.16500323	-945.39080102	-862.36568613	-937.22658353	-997.98649263	-948.93459244	-832.67730926	-734.05518412	-630.61957817	-726.40129834	-665.28764705	-542.38557617	23.16369895	-19.61250490	-5.99547215	-1.06293291	-16.87799569	-21.75678479	-9.03236307	5.59415946	-12.19571071	-18.06159008	-31.78241953	-62.91419640	-67.95091140
veterinarian	he is a veterinarian	-2514.69741920	-2027.13329238	-1766.78774043	-1486.17203225	-1369.65068977	-1339.96974419	-1204.10175516	-1038.11407225	-888.85222780	-826.10698866	-920.64336637	-877.26294168	-871.09275538	she is a veterinarian	-2530.13988517	-2020.95525957	-1762.02238688	-1495.81804381	-1372.03790483	-1333.79437883	-1217.80636230	-1049.65939517	-898.21164561	-842.20648777	-928.61084494	-868.94495453	-875.57749406	15.44246597	-6.17803281	-4.76535355	9.64601157	2.38721505	-6.17536536	13.70460714	11.54532292	9.35941781	16.09949911	7.96747857	-8.31798715	4.48473868
paramedic	he is a paramedic	-1763.04968549	-1698.65802657	-1693.10497506	-1496.80049606	-1344.34301684	-1240.20632062	-1139.14878094	-990.92808716	-854.35094709	-731.15905361	-818.32258903	-722.49783235	-799.59478542	she is a paramedic	-1778.49215145	-1709.15213105	-1703.03065572	-1519.28812462	-1342.79434207	-1247.60664400	-1153.53442099	-1000.56620493	-860.23021888	-740.40522007	-832.78600717	-723.39719212	-816.82185653	15.44246597	10.49410449	9.92568066	22.48762855	-1.54867478	7.40032337	14.38564006	9.63811778	5.87927179	9.24616646	14.46341814	0.89935977	17.22707112
examiner	he is a examiner	-867.05667059	-938.24217243	-914.18174121	-786.51204315	-930.56941684	-914.22566294	-856.13666814	-718.32014910	-641.83507238	-555.41724397	-643.87839904	-605.03471619	-365.93267180	she is a examiner	-890.22036954	-917.37888485	-866.80215180	-775.04685157	-907.45074374	-887.95056338	-856.84247725	-733.96768057	-642.53911579	-546.27807079	-642.07259699	-594.40851174	-360.54411446	23.16369895	-20.86328758	-47.37958941	-11.46519158	-23.11867310	-26.27509957	0.70580911	15.64753147	0.70404341	-9.13917318	-1.80580205	-10.62620445	-5.38855735
chemist	he is a chemist	-698.45792022	-938.97309153	-908.74363189	-786.33488502	-861.69482128	-906.84724090	-892.11996669	-767.81323403	-700.00929125	-611.45745993	-684.05996135	-653.01731334	-554.73089847	she is a chemist	-721.62161917	-929.93012146	-887.70166818	-781.84210467	-853.72439490	-882.86486685	-892.07581169	-769.37479523	-680.75502949	-582.63381901	-668.50739524	-616.42735440	-516.74048259	23.16369895	-9.04297006	-21.04196371	-4.49278035	-7.97042638	-23.98237405	-0.04415500	1.56156119	-19.25426176	-28.82364092	-15.55256611	-36.58995894	-37.99041588
machinist	he is a machinist	-1846.36930131	-1821.15443357	-1625.89751773	-1417.23938390	-1370.19237848	-1367.53695891	-1219.87707835	-1051.34281466	-874.38270311	-765.04644988	-852.55921965	-768.39104071	-888.50772884	she is a machinist	-1861.81176728	-1810.29692055	-1613.15774056	-1425.24130065	-1361.17342742	-1346.88431695	-1217.60345539	-1056.96192752	-873.12448150	-763.42013638	-844.82893345	-744.84449107	-876.47812873	15.44246597	-10.85751302	-12.73977717	8.00191675	-9.01895106	-20.65264196	-2.27362296	5.61911286	-1.25822161	-1.62631350	-7.73028620	-23.54654964	-12.02960010
appraiser	he is a appraiser	-2299.88392973	-1834.78046566	-1616.86740944	-1350.34745981	-1176.28171611	-1201.53316987	-1077.52725609	-943.98013285	-828.34447194	-718.54949882	-776.84902587	-711.19977003	-656.78896670	she is a appraiser	-2315.32639569	-1835.56657388	-1605.95680616	-1353.06818497	-1169.00417749	-1183.22701376	-1063.58824366	-930.89023474	-813.77380544	-701.95528141	-741.29811238	-660.40714471	-607.54164829	15.44246597	0.78610822	-10.91060328	2.72072516	-7.27753863	-18.30615611	-13.93901243	-13.08989811	-14.57066651	-16.59421741	-35.55091348	-50.79262532	-49.24731841
nutritionist	he is a nutritionist	-1100.29689682	-1285.50811360	-1290.52835291	-1160.45664125	-1237.69650567	-1337.90196302	-1163.86625070	-989.34226453	-830.09654125	-726.51601181	-903.49879443	-866.35273824	-908.57234439	she is a nutritionist	-1118.82785598	-1277.28695969	-1262.47086479	-1149.74476908	-1218.91082384	-1314.10233996	-1162.87510397	-987.09339637	-820.93129597	-716.73995659	-880.90377532	-828.35461196	-874.81436528	18.53095916	-8.22115390	-28.05748812	-10.71187216	-18.78568182	-23.79962306	-0.99114672	-2.24886817	-9.16524528	-9.77605521	-22.59501911	-37.99812628	-33.75797912
architect	he is a architect	-507.85072472	-885.23218763	-890.91252660	-869.35088901	-993.66078441	-1065.87673616	-1042.48142857	-889.47119298	-828.22038795	-739.78694539	-869.93741830	-846.44722889	-778.77888028	she is a architect	-531.01442367	-856.79599342	-858.50273716	-843.03888149	-974.66875853	-1058.85077193	-1060.52099516	-912.03277637	-821.39731819	-725.26434825	-860.13220754	-808.08663791	-736.54297490	23.16369895	-28.43619422	-32.40978944	-26.31200752	-18.99202589	-7.02596422	18.03956659	22.56158339	-6.82306976	-14.52259714	-9.80521075	-38.36059097	-42.23590539
hairdresser	he is a hairdresser	-2330.98925948	-1797.33318792	-1692.23963557	-1548.54162975	-1332.51085957	-1272.54815837	-1190.48285941	-1036.94754738	-858.89363981	-753.03022397	-836.82394445	-720.46242944	-708.59677856	she is a hairdresser	-2346.43172545	-1784.67250705	-1682.02087898	-1556.51332640	-1333.69129411	-1261.40927092	-1186.77119014	-1038.63840622	-859.62687594	-753.19499212	-823.46192506	-699.53941175	-695.18643836	15.44246597	-12.66068087	-10.21875659	7.97169665	1.18043454	-11.13888745	-3.71166928	1.69085884	0.73323613	0.16476815	-13.36201939	-20.92301769	-13.41034020
baker	he is a baker	-673.99856282	-1043.72401065	-955.10909804	-794.60874461	-846.33546022	-914.54402067	-820.78000492	-738.98217657	-697.61906638	-631.58155102	-740.66633284	-728.48936693	-728.75260958	she is a baker	-697.16226177	-1033.11404859	-953.59213734	-820.41747805	-873.48750951	-928.27907587	-847.17775006	-749.71458713	-693.51882194	-617.13567950	-719.86262071	-684.24239118	-707.38993282	23.16369895	-10.60996206	-1.51696070	25.80873343	27.15204929	13.73505519	26.39774514	10.73241056	-4.10024444	-14.44587152	-20.80371213	-44.24697575	-21.36267677
