,inputs,template_id,word_id,template,word,"label-k-means (n_clusters = 8, distance = cosine)","label-k-means (n_clusters = 9, distance = cosine)","label-hierarchical (n_clusters = 8, distance = cosine, linkage = average)","label-hierarchical (n_clusters = 9, distance = cosine, linkage = average)","label-hierarchical (n_clusters = 8, distance = euclidean, linkage = ward)","label-hierarchical (n_clusters = 9, distance = euclidean, linkage = ward)"
18,[2 0],2,0,"Yesterday, I ate a delicious [WORD] in that restaurant.",pizza,4,0,6.0,6.0,7.0,7.0
19,[2 1],2,1,"Yesterday, I ate a delicious [WORD] in that restaurant.",lasagna,6,2,0.0,8.0,6.0,6.0
20,[2 2],2,2,"Yesterday, I ate a delicious [WORD] in that restaurant.",hamburger,4,6,7.0,7.0,0.0,8.0
21,[2 3],2,3,"Yesterday, I ate a delicious [WORD] in that restaurant.",soup,3,3,3.0,3.0,2.0,2.0
22,[2 4],2,4,"Yesterday, I ate a delicious [WORD] in that restaurant.",sandwich,3,4,4.0,1.0,0.0,1.0
23,[2 5],2,5,"Yesterday, I ate a delicious [WORD] in that restaurant.",salad,3,1,1.0,0.0,1.0,0.0
24,[2 6],2,6,"Yesterday, I ate a delicious [WORD] in that restaurant.",sushi,0,2,5.0,5.0,3.0,3.0
25,[2 7],2,7,"Yesterday, I ate a delicious [WORD] in that restaurant.",taco,7,5,0.0,4.0,5.0,5.0
26,[2 8],2,8,"Yesterday, I ate a delicious [WORD] in that restaurant.",goulash,5,8,2.0,2.0,4.0,4.0
27,[3 0],3,0,I learned how to cook [WORD] after weeks of practice.,pizza,4,0,6.0,6.0,7.0,7.0
28,[3 1],3,1,I learned how to cook [WORD] after weeks of practice.,lasagna,6,2,0.0,8.0,6.0,6.0
29,[3 2],3,2,I learned how to cook [WORD] after weeks of practice.,hamburger,4,6,7.0,7.0,0.0,8.0
30,[3 3],3,3,I learned how to cook [WORD] after weeks of practice.,soup,3,3,3.0,3.0,2.0,2.0
31,[3 4],3,4,I learned how to cook [WORD] after weeks of practice.,sandwich,3,4,4.0,1.0,0.0,1.0
32,[3 5],3,5,I learned how to cook [WORD] after weeks of practice.,salad,3,1,1.0,0.0,1.0,0.0
33,[3 6],3,6,I learned how to cook [WORD] after weeks of practice.,sushi,0,2,5.0,5.0,3.0,3.0
34,[3 7],3,7,I learned how to cook [WORD] after weeks of practice.,taco,7,5,0.0,4.0,5.0,5.0
35,[3 8],3,8,I learned how to cook [WORD] after weeks of practice.,goulash,5,8,2.0,2.0,4.0,4.0
36,[4 0],4,0,This [WORD] is not very good...,pizza,4,0,6.0,6.0,7.0,7.0
37,[4 1],4,1,This [WORD] is not very good...,lasagna,2,2,0.0,8.0,6.0,6.0
38,[4 2],4,2,This [WORD] is not very good...,hamburger,4,7,7.0,7.0,0.0,8.0
39,[4 3],4,3,This [WORD] is not very good...,soup,3,3,3.0,3.0,2.0,2.0
40,[4 4],4,4,This [WORD] is not very good...,sandwich,3,4,4.0,1.0,0.0,1.0
41,[4 5],4,5,This [WORD] is not very good...,salad,4,1,1.0,0.0,1.0,0.0
42,[4 6],4,6,This [WORD] is not very good...,sushi,0,2,5.0,5.0,3.0,3.0
43,[4 7],4,7,This [WORD] is not very good...,taco,7,5,0.0,4.0,5.0,5.0
44,[4 8],4,8,This [WORD] is not very good...,goulash,5,8,2.0,2.0,4.0,4.0
45,[5 0],5,0,"Honestly, I don't like [WORD] very much.",pizza,4,0,6.0,6.0,7.0,7.0
46,[5 1],5,1,"Honestly, I don't like [WORD] very much.",lasagna,6,2,0.0,8.0,6.0,6.0
47,[5 2],5,2,"Honestly, I don't like [WORD] very much.",hamburger,4,7,7.0,7.0,0.0,8.0
48,[5 3],5,3,"Honestly, I don't like [WORD] very much.",soup,3,3,3.0,3.0,2.0,2.0
49,[5 4],5,4,"Honestly, I don't like [WORD] very much.",sandwich,3,4,4.0,1.0,0.0,1.0
50,[5 5],5,5,"Honestly, I don't like [WORD] very much.",salad,4,1,1.0,0.0,1.0,0.0
51,[5 6],5,6,"Honestly, I don't like [WORD] very much.",sushi,0,2,5.0,5.0,3.0,3.0
52,[5 7],5,7,"Honestly, I don't like [WORD] very much.",taco,7,5,0.0,4.0,5.0,5.0
53,[5 8],5,8,"Honestly, I don't like [WORD] very much.",goulash,5,8,2.0,2.0,4.0,4.0
54,[6 0],6,0,This [WORD] is really bad...,pizza,4,0,6.0,6.0,7.0,7.0
55,[6 1],6,1,This [WORD] is really bad...,lasagna,1,2,0.0,8.0,6.0,6.0
56,[6 2],6,2,This [WORD] is really bad...,hamburger,4,7,7.0,7.0,0.0,8.0
57,[6 3],6,3,This [WORD] is really bad...,soup,3,3,3.0,3.0,2.0,2.0
58,[6 4],6,4,This [WORD] is really bad...,sandwich,3,4,4.0,1.0,0.0,1.0
59,[6 5],6,5,This [WORD] is really bad...,salad,4,1,1.0,0.0,1.0,0.0
60,[6 6],6,6,This [WORD] is really bad...,sushi,0,2,5.0,5.0,3.0,3.0
61,[6 7],6,7,This [WORD] is really bad...,taco,7,5,0.0,4.0,5.0,5.0
62,[6 8],6,8,This [WORD] is really bad...,goulash,5,8,2.0,2.0,4.0,4.0
63,[7 0],7,0,"Ugh, that [WORD] does not seem good.",pizza,4,0,6.0,6.0,7.0,7.0
64,[7 1],7,1,"Ugh, that [WORD] does not seem good.",lasagna,1,2,0.0,8.0,6.0,6.0
65,[7 2],7,2,"Ugh, that [WORD] does not seem good.",hamburger,4,7,7.0,7.0,0.0,8.0
66,[7 3],7,3,"Ugh, that [WORD] does not seem good.",soup,3,3,3.0,3.0,2.0,2.0
67,[7 4],7,4,"Ugh, that [WORD] does not seem good.",sandwich,3,4,4.0,1.0,0.0,1.0
68,[7 5],7,5,"Ugh, that [WORD] does not seem good.",salad,4,1,1.0,0.0,1.0,0.0
69,[7 6],7,6,"Ugh, that [WORD] does not seem good.",sushi,0,2,5.0,5.0,3.0,3.0
70,[7 7],7,7,"Ugh, that [WORD] does not seem good.",taco,7,5,0.0,4.0,5.0,5.0
71,[7 8],7,8,"Ugh, that [WORD] does not seem good.",goulash,5,8,2.0,2.0,4.0,4.0
